0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,individual,pop,p1_id,p2_id
-20.334051,-24.259142,-22.235712,-19.82247,-22.360886,-22.920513,-19.259418,-20.51229,-22.487972,-46.791378,-21.682913,-24.97162,-20.575937,-21.835354,-23.32337,-22.780375,-17.52869,-22.391068,-22.93324,-19.394434,-23.082449,-23.33397,-22.567017,-24.880651,-21.39163,-23.96857,-24.196747,-23.376944,-21.61856,-23.259151,-26.677402,-44.2598,-20.506653,-19.001139,-21.571009,-17.826384,-19.777128,-29.205303,-22.53227,-19.409903,-24.672533,-23.245523,-18.530443,-23.69775,-23.381453,-20.750538,-23.05693,-24.142681,-23.098475,-24.764648,-22.327799,-20.780325,-20.814945,-22.86088,-17.911888,-22.709887,-23.472904,-52.038944,-24.581722,-19.269485,-20.91841,-23.93906,-22.250536,-22.085283,-21.545296,-21.146427,-20.470438,-17.954308,-26.453184,-21.479868,-24.311964,-17.268505,-29.88466,-23.169579,-36.850845,-22.917952,-31.89938,-20.134895,-21.134403,-21.40445,-24.833326,-19.84375,-23.270247,-21.998165,-23.455006,-22.485708,-22.213919,-22.308947,-25.890211,-20.711678,-24.533792,-23.722862,-21.025602,-30.96184,-20.910084,-17.65862,-24.90159,-20.253834,-20.555431,-20.279188,12,1,1,2
-22.998648,-26.884321,-25.152422,-23.907183,-23.108103,-25.496853,-19.270735,-22.852533,-23.098858,-49.090412,-24.12309,-28.498055,-23.320353,-25.619087,-25.428366,-24.93019,-20.538582,-24.809671,-23.910612,-20.576134,-23.928135,-26.40469,-23.578747,-26.6443,-23.15316,-25.437464,-26.97258,-26.843246,-23.474873,-26.570457,-27.090487,-47.037228,-22.69228,-22.647896,-25.700504,-21.06877,-20.761562,-30.764952,-24.406643,-21.066763,-28.269945,-25.492748,-20.46164,-26.189573,-25.024984,-23.589405,-25.745527,-25.937279,-26.84006,-26.655933,-25.193808,-23.905016,-23.786894,-26.039988,-18.713612,-24.546688,-26.649975,-50.42157,-26.669209,-22.211327,-23.24546,-27.559433,-25.589403,-26.36391,-24.43072,-20.131205,-22.538439,-20.522926,-31.550043,-25.390966,-27.756163,-19.131002,-31.658482,-25.428888,-35.26029,-25.756086,-35.314407,-23.312326,-23.762938,-22.871544,-26.674002,-23.06242,-25.219582,-24.57583,-27.574287,-25.146006,-25.866678,-24.914133,-25.972502,-17.208149,-27.652021,-24.82637,-22.55928,-31.769299,-23.95779,-20.26206,-26.44856,-23.559317,-19.799614,-23.6249,13,1,1,2
-18.264076,-21.11793,-19.5616,-16.977158,-18.005442,-19.40821,-16.056255,-18.448128,-18.67184,-41.884415,-19.202782,-20.394876,-18.63746,-20.394222,-21.385973,-17.07515,-17.03097,-19.12692,-18.236637,-17.632624,-18.340164,-20.297348,-18.532795,-18.827543,-18.533503,-19.01783,-20.56687,-20.804811,-18.818813,-19.021526,-21.760508,-41.88667,-17.418581,-17.630363,-19.348154,-15.977892,-16.807657,-26.676517,-19.825779,-16.944065,-19.67427,-19.954342,-18.031261,-18.00003,-19.786781,-18.016258,-19.40911,-19.674782,-20.398008,-18.898422,-19.212416,-19.506662,-19.23508,-18.739107,-16.932945,-16.893734,-20.451843,-43.81352,-17.39548,-18.390678,-18.966557,-21.421553,-19.84612,-19.422264,-20.877445,-17.855148,-17.713633,-16.96206,-24.186657,-19.338053,-22.886179,-15.699931,-25.348412,-20.099646,-32.945625,-19.323856,-29.540417,-16.885529,-18.884226,-17.063368,-20.274864,-19.172163,-20.141834,-17.990305,-21.131077,-20.322212,-18.504663,-19.593937,-20.300072,-15.378597,-20.87374,-20.037806,-19.783754,-25.846495,-19.095356,-17.384539,-18.599802,-17.373268,-16.237389,-17.967976,14,1,1,2
-20.2477,-21.489836,-19.477816,-17.254147,-22.487617,-20.445713,-17.877174,-20.809448,-21.561346,-40.621624,-18.93799,-21.31254,-17.62267,-20.252924,-21.178038,-18.727695,-16.69856,-19.61089,-20.260246,-19.445866,-19.984442,-20.49437,-21.985443,-22.229048,-18.711657,-22.1386,-21.290081,-20.365881,-18.56704,-19.732567,-23.649641,-39.534847,-18.878975,-18.580946,-19.782993,-16.752182,-16.486097,-26.730764,-21.813696,-20.162378,-20.570305,-21.27147,-18.630917,-18.6563,-20.810709,-18.18248,-20.870537,-24.038208,-21.993822,-23.465157,-18.8957,-18.944544,-19.703508,-19.76614,-16.147202,-19.27436,-21.544624,-44.21091,-23.651943,-17.82872,-19.197227,-23.63899,-19.250566,-19.38248,-20.059004,-19.230175,-20.60282,-16.656649,-21.256943,-19.67981,-25.195358,-17.278074,-25.832396,-19.80631,-35.647423,-20.98215,-31.746456,-18.744686,-19.040247,-20.684055,-20.139694,-19.261253,-23.423792,-18.261244,-20.164333,-20.782682,-19.772524,-19.311296,-24.79001,-18.592155,-21.683483,-22.938887,-18.915277,-26.235764,-18.998455,-17.467169,-24.28899,-18.770388,-18.615469,-18.829453,16,1,1,2
-16.263786,-18.582525,-15.906995,-14.022907,-18.897118,-16.941298,-14.5708885,-15.868365,-18.31628,-24.933563,-16.48248,-19.220507,-15.495966,-17.369123,-16.775484,-16.932594,-13.5351,-17.444527,-17.77051,-15.194487,-15.008124,-17.990133,-17.82835,-19.907373,-15.134037,-20.339272,-17.942448,-18.340664,-17.282864,-18.037445,-21.281458,-28.373928,-17.731503,-14.684833,-17.288784,-13.443167,-14.084354,-26.46833,-19.741018,-16.784153,-18.475815,-16.181677,-15.883361,-15.648856,-18.437742,-16.543941,-17.764284,-21.176243,-18.232695,-20.689177,-15.702188,-16.495743,-16.873234,-17.223944,-13.20539,-18.982773,-18.080814,-38.023674,-19.94423,-14.719637,-16.151278,-18.758347,-16.517931,-16.580687,-16.439789,-16.389992,-16.813623,-14.611451,-20.55542,-16.664938,-20.644375,-14.306472,-24.030903,-17.950933,-32.989403,-17.66777,-26.007008,-14.399281,-15.99658,-18.546173,-20.008358,-13.727421,-19.057566,-16.777597,-18.025454,-16.960588,-16.224936,-17.592371,-21.613071,-14.399473,-18.592356,-20.117945,-18.26427,-20.08277,-16.56909,-13.820074,-18.159628,-15.045675,-13.9619055,-15.36006,17,1,1,2
-23.088963,-24.244719,-24.204994,-21.762444,-20.808773,-24.36071,-18.922766,-22.270844,-20.451979,-43.050285,-21.892042,-25.789368,-22.48868,-24.693558,-23.77041,-22.720139,-21.840261,-23.227707,-20.488512,-20.789095,-21.879126,-24.743711,-23.575302,-24.219236,-20.894588,-21.524487,-25.062,-24.634378,-21.808727,-25.240414,-23.973719,-43.70205,-19.133434,-21.026594,-24.567812,-20.637598,-19.824154,-30.79313,-18.788134,-19.262228,-24.30127,-24.857244,-21.587765,-24.00986,-22.294264,-21.008614,-25.070585,-22.980297,-24.670958,-21.996674,-22.846743,-24.011984,-22.69925,-23.228533,-18.198524,-24.675282,-25.102983,-46.150883,-25.545277,-21.901777,-23.785942,-27.438444,-23.803373,-24.048798,-23.240643,-19.669235,-20.199232,-19.959532,-25.859354,-24.147905,-25.21678,-19.151104,-28.852047,-22.49818,-34.297005,-23.640726,-31.66881,-22.180387,-23.982494,-19.980934,-22.20585,-22.869999,-22.73163,-24.313818,-24.456182,-23.636724,-23.02187,-22.632801,-21.795372,-16.675888,-25.799265,-22.069248,-21.471794,-29.94446,-22.747267,-20.40163,-24.415192,-22.462635,-18.625383,-23.171318,19,1,1,2
-25.808292,-28.176378,-26.639076,-25.11027,-25.29573,-26.723236,-22.192886,-24.59401,-25.49083,-46.34508,-26.8626,-30.62237,-25.758423,-27.239384,-27.193632,-26.210495,-22.85073,-27.023794,-25.149412,-23.727694,-26.147934,-28.971851,-27.000927,-29.54933,-25.103243,-27.135557,-28.486895,-29.312735,-26.066126,-28.379509,-29.472754,-44.88655,-23.204525,-24.06492,-27.562,-23.295574,-23.49953,-36.330143,-24.811579,-23.858501,-29.426533,-28.950546,-24.501211,-28.048262,-26.10645,-25.327507,-28.430555,-27.44854,-28.919107,-27.941294,-26.989676,-26.622728,-26.033693,-27.678371,-22.270796,-25.344826,-28.550322,-54.57726,-27.688147,-24.643944,-25.839756,-29.551804,-27.749914,-29.171604,-27.629044,-23.65671,-24.125107,-21.84533,-33.381824,-27.030739,-30.931925,-21.292465,-32.98645,-27.344706,-40.484123,-27.98884,-36.50454,-25.759453,-26.43202,-25.121609,-27.604652,-25.035805,-26.817282,-26.951616,-29.185726,-27.996681,-26.532919,-26.261282,-28.768364,-20.312595,-29.774576,-27.514349,-24.503233,-32.733006,-26.543417,-24.377367,-28.842514,-25.34776,-22.06974,-25.61269,20,1,1,2
-23.49918,-26.965168,-24.228783,-21.678642,-25.797249,-24.809753,-22.220434,-22.725262,-25.763453,-38.323277,-23.45265,-26.124458,-22.348696,-24.884174,-26.395067,-23.499086,-19.041908,-24.579222,-26.368534,-23.611578,-23.872347,-25.20453,-26.953197,-26.810282,-23.159447,-26.578749,-26.64029,-25.157581,-24.250456,-24.53754,-29.003548,-38.040257,-22.807968,-22.493317,-24.413898,-21.44981,-21.056284,-37.66641,-28.599367,-23.753344,-25.863075,-26.220398,-22.13592,-22.624739,-25.774363,-23.268051,-25.477896,-27.638206,-25.715563,-26.635357,-22.781532,-23.943563,-23.467009,-24.127651,-21.70821,-24.531208,-26.265839,-55.281483,-26.704847,-21.937399,-24.015854,-26.70125,-24.497139,-22.564575,-23.787106,-24.01283,-23.790503,-21.412853,-29.307634,-24.321995,-27.24011,-20.622856,-32.256187,-25.895226,-44.6929,-25.291498,-36.232098,-21.766865,-23.76192,-23.94288,-25.652971,-22.711409,-26.474485,-23.5818,-25.551727,-26.18637,-23.174622,-25.420622,-28.239157,-24.880062,-27.205294,-27.418549,-25.530375,-28.285145,-23.600695,-20.341301,-27.34974,-22.796545,-23.26482,-23.017008,21,1,1,2
-22.031086,-24.191484,-23.670166,-21.49118,-20.927608,-24.521717,-20.498722,-20.771671,-22.24718,-44.375885,-23.234465,-24.949469,-22.12658,-23.959452,-26.92496,-19.397142,-19.802233,-22.700676,-21.532564,-21.340754,-22.303461,-24.660976,-24.241539,-24.030897,-21.625334,-22.580872,-24.833317,-25.153593,-22.507515,-22.584251,-27.52503,-41.79295,-20.748745,-20.306463,-24.444529,-20.402504,-20.106232,-33.713703,-22.66243,-21.597233,-24.007996,-25.244244,-22.456394,-22.96202,-22.877146,-21.712,-24.142565,-23.557068,-24.43675,-23.44921,-23.405703,-22.469217,-21.804659,-22.190569,-21.017927,-23.001398,-24.209606,-52.449806,-25.06786,-22.130346,-22.955109,-25.316933,-24.349773,-24.837273,-22.92812,-21.915396,-19.535349,-19.49721,-27.931662,-23.41497,-23.009531,-19.543623,-29.856693,-22.211714,-39.555782,-23.75441,-37.794594,-21.429144,-22.55047,-20.5914,-23.913593,-23.110332,-21.346071,-22.801031,-25.146494,-24.17315,-22.896917,-23.330946,-22.728012,-20.69516,-26.108229,-24.561672,-22.892538,-30.944029,-22.68575,-20.800709,-24.362057,-22.168007,-20.717756,-21.274282,22,1,1,2
-22.47334,-25.553814,-23.789474,-22.292816,-23.301107,-24.0523,-21.505112,-21.535154,-24.167355,-44.999866,-23.868933,-25.606844,-20.925306,-23.349453,-27.865257,-22.25055,-18.678928,-23.14404,-24.17111,-22.303453,-23.884249,-24.984264,-25.523409,-26.075405,-23.214693,-24.478203,-26.110533,-25.154684,-22.725174,-23.240643,-28.318697,-39.948036,-21.11526,-22.233831,-23.777115,-20.781855,-20.577332,-31.576782,-25.910006,-22.21405,-25.489342,-25.976841,-20.197422,-24.026665,-24.349348,-21.973892,-24.749252,-25.411407,-25.171675,-25.492271,-23.589886,-22.75899,-21.914742,-22.692797,-20.4355,-22.927114,-25.006422,-52.42947,-25.599007,-22.04488,-23.015383,-26.694405,-23.82652,-24.74725,-23.979248,-23.429974,-23.14063,-20.850386,-29.91926,-23.965513,-28.514755,-20.064907,-29.968441,-24.399115,-37.466255,-24.514309,-39.747917,-21.852089,-22.550753,-21.978657,-25.710566,-23.60331,-24.320463,-21.956049,-25.785778,-25.12067,-24.38305,-24.183775,-25.542576,-23.335464,-26.42567,-25.917124,-23.98784,-31.169,-22.332115,-19.775393,-26.2926,-22.665375,-22.613798,-22.440937,23,1,1,2
