,dist,p1,p2
274,0.6896834960422675,16,21
275,0.692755076079963,16,22
276,0.9764928081678999,16,23
277,1.9363622021661375,16,24
278,0.7753706288982088,16,25
279,1.2758638803632458,16,26
281,0.6412439206323391,18,19
282,0.6321520144160218,18,20
283,0.6008652924529377,18,21
284,0.7127526657543113,18,22
285,0.6828198056808418,18,23
286,1.4768827205266961,18,24
287,0.7166682971720897,18,25
288,0.8607787702050731,18,26
290,0.6798635693423646,19,20
291,0.5762663254374035,19,21
292,0.6555153235103907,19,22
293,0.7673677426176132,19,23
294,1.6361481699069889,19,24
295,0.7091131632977612,19,25
296,0.9984543680236551,19,26
298,0.6380874659621977,20,21
299,0.7571267421341735,20,22
300,0.6981344436152204,20,23
301,1.4530275274244175,20,24
302,0.759318465001199,20,25
303,0.853392202050355,20,26
305,0.6337487564448064,21,22
306,0.7283882808437623,21,23
307,1.6018163651956094,21,24
308,0.6834006797279887,21,25
309,0.9588005579327653,21,26
311,0.8522832978638439,22,23
312,1.7478671491487432,22,24
313,0.7439957948837607,22,25
314,1.1050106439505751,22,26
316,1.382378316403935,23,24
317,0.8259975805284309,23,25
318,0.8138032679447548,23,26
320,1.687598753316692,24,25
321,1.2915440948736334,24,26
323,1.05518733934373,25,26
