"","pop","individual","value","cluster","cluster_size"
"375",1,15,1,"Cluster 5",40
"376",1,15,1,"Cluster 6",14
"377",1,15,1,"Cluster 7",5
"378",1,15,1,"Cluster 8",2
"379",1,15,1,"Cluster 9",5
"380",1,15,2,"Cluster 1",19
"381",1,15,2,"Cluster 10",30
"382",1,15,2,"Cluster 11",19
"383",1,15,2,"Cluster 12",123
"384",1,15,2,"Cluster 13",42
"385",1,15,2,"Cluster 2",2
"386",1,15,2,"Cluster 3",2
"387",1,15,2,"Cluster 4",14
"388",1,15,2,"Cluster 5",16
"389",1,15,2,"Cluster 6",24
"390",1,15,2,"Cluster 7",6
"391",1,15,2,"Cluster 8",43
"392",1,15,2,"Cluster 9",5
"393",1,16,1,"Cluster 1",18
"394",1,16,1,"Cluster 10",31
"395",1,16,1,"Cluster 11",13
"396",1,16,1,"Cluster 12",59
"397",1,16,1,"Cluster 2",2
"398",1,16,1,"Cluster 3",11
"399",1,16,1,"Cluster 4",7
"400",1,16,1,"Cluster 5",19
"401",1,16,1,"Cluster 6",2
"402",1,16,1,"Cluster 7",1
"403",1,16,1,"Cluster 8",1
"404",1,16,1,"Cluster 9",46
"405",1,16,2,"Cluster 1",13
"406",1,16,2,"Cluster 10",50
"407",1,16,2,"Cluster 2",65
"408",1,16,2,"Cluster 3",44
"409",1,16,2,"Cluster 4",36
"410",1,16,2,"Cluster 5",105
"411",1,16,2,"Cluster 6",5
"412",1,16,2,"Cluster 7",23
"413",1,16,2,"Cluster 8",74
"414",1,16,2,"Cluster 9",4
"415",1,17,1,"Cluster 1",10
"416",1,17,1,"Cluster 10",19
"417",1,17,1,"Cluster 11",1
"418",1,17,1,"Cluster 12",7
"419",1,17,1,"Cluster 13",1
"420",1,17,1,"Cluster 2",7
"421",1,17,1,"Cluster 3",13
"422",1,17,1,"Cluster 4",4
"423",1,17,1,"Cluster 5",13
"424",1,17,1,"Cluster 6",1
"425",1,17,1,"Cluster 7",1
"426",1,17,1,"Cluster 8",10
"427",1,17,1,"Cluster 9",1
"428",1,17,2,"Cluster 1",58
"429",1,17,2,"Cluster 10",173
"430",1,17,2,"Cluster 2",15
"431",1,17,2,"Cluster 3",9
"432",1,17,2,"Cluster 4",48
"433",1,17,2,"Cluster 5",52
"434",1,17,2,"Cluster 6",19
"435",1,17,2,"Cluster 7",45
"436",1,17,2,"Cluster 8",15
"437",1,17,2,"Cluster 9",46
"438",1,18,1,"Cluster 1",4
"439",1,18,1,"Cluster 10",99
"440",1,18,1,"Cluster 2",11
"441",1,18,1,"Cluster 3",7
"442",1,18,1,"Cluster 4",70
"443",1,18,1,"Cluster 5",20
"444",1,18,1,"Cluster 6",15
"445",1,18,1,"Cluster 7",14
"446",1,18,1,"Cluster 8",29
"447",1,18,1,"Cluster 9",40
"448",1,18,2,"Cluster 1",13
"449",1,18,2,"Cluster 10",8
"450",1,18,2,"Cluster 2",53
"451",1,18,2,"Cluster 3",66
"452",1,18,2,"Cluster 4",1
"453",1,18,2,"Cluster 5",7
"454",1,18,2,"Cluster 6",13
"455",1,18,2,"Cluster 7",46
"456",1,18,2,"Cluster 8",114
"457",1,18,2,"Cluster 9",2
"458",1,19,1,"Cluster 1",128
"459",1,19,1,"Cluster 2",13
"460",1,19,1,"Cluster 3",128
"461",1,19,1,"Cluster 4",77
"462",1,19,1,"Cluster 5",51
"463",1,19,1,"Cluster 6",27
"464",1,19,1,"Cluster 7",29
"465",1,19,1,"Cluster 8",42
"466",1,19,2,"Cluster 1",60
"467",1,19,2,"Cluster 2",7
"468",1,19,2,"Cluster 3",20
"469",1,19,2,"Cluster 4",14
"470",1,19,2,"Cluster 5",1
"471",1,19,2,"Cluster 6",1
"472",1,19,2,"Cluster 7",30
"473",1,19,2,"Cluster 8",2
"474",1,20,1,"Cluster 1",11
"475",1,20,1,"Cluster 10",47
"476",1,20,1,"Cluster 2",45
"477",1,20,1,"Cluster 3",66
"478",1,20,1,"Cluster 4",1
"479",1,20,1,"Cluster 5",10
"480",1,20,1,"Cluster 6",37
"481",1,20,1,"Cluster 7",20
"482",1,20,1,"Cluster 8",87
"483",1,20,1,"Cluster 9",56
"484",1,20,2,"Cluster 1",83
"485",1,20,2,"Cluster 10",1
"486",1,20,2,"Cluster 11",20
"487",1,20,2,"Cluster 2",25
"488",1,20,2,"Cluster 3",6
"489",1,20,2,"Cluster 4",6
"490",1,20,2,"Cluster 5",2
"491",1,20,2,"Cluster 6",35
"492",1,20,2,"Cluster 7",33
"493",1,20,2,"Cluster 8",2
"494",1,20,2,"Cluster 9",45
"495",1,21,1,"Cluster 1",52
"496",1,21,1,"Cluster 10",1
"497",1,21,1,"Cluster 11",4
"498",1,21,1,"Cluster 12",5
"499",1,21,1,"Cluster 13",13
"500",1,21,1,"Cluster 2",16
