p1_mean_weights,p1_sd_weights,p2_mean_weights,p2_sd_weights,mean_bias,sd_bias,pop,p1_id,p2_id
0.4480028,0.12359426,0.5012981,0.39442667,1.2370406,4.890112,2,1,3
0.41761693,-0.050631754,0.53223985,0.35616183,1.7133832,6.4048004,2,1,3
0.46217638,0.2263501,0.50908345,0.29269835,2.4520268,4.7409773,2,1,3
0.48449284,0.18047099,0.4712787,0.18889946,2.978686,6.108503,2,1,3
0.4760577,0.30580652,0.48357013,0.4815286,1.3511438,2.3877,2,1,3
0.46812782,0.3649571,0.49039626,0.26419213,1.1992642,3.9189308,2,1,3
0.4706583,0.38720796,0.46039855,0.49695113,0.67896724,1.0291175,2,1,3
0.47154275,0.35185656,0.47439513,0.45524192,1.626845,2.6414454,2,1,3
0.43628493,0.2759306,0.50696456,0.23390315,1.2505145,4.9299517,2,1,3
0.4691764,0.14078143,0.4968089,0.23319957,1.0667826,5.9611263,2,1,3
0.45659673,0.42889798,0.48827052,0.38167104,1.6308157,2.1694362,2,1,3
0.44471866,0.23542526,0.5200176,0.4065324,1.0110197,4.281024,2,1,3
0.47731578,0.35054612,0.47486907,0.07097936,2.8107314,5.4070015,2,1,3
0.47229674,0.027128115,0.48889872,0.48002577,1.2417846,5.1882157,2,1,3
0.45946103,0.3626902,0.5006856,0.31832933,2.2967453,3.2830596,2,1,3
0.48877394,0.10730326,0.4541028,0.24919693,1.6524805,5.9134316,2,1,3
0.48318383,0.3042612,0.49157092,0.58612174,0.9011757,1.4769777,2,1,3
0.48043078,0.39680254,0.48297954,0.35351413,2.2778168,2.9622169,2,1,3
0.4575689,0.21618745,0.49809173,0.56649566,1.7745748,2.9332337,2,1,3
0.48705685,0.08386907,0.45552018,0.22372033,2.5468612,6.45275,2,1,3
0.46750182,0.4247589,0.48028836,0.32637295,2.1006145,2.8446202,2,1,3
0.46135047,0.22963396,0.49545708,0.44396445,1.3855358,3.5972023,2,1,3
0.49591333,0.04879412,0.4721545,0.41678858,0.7059121,4.9451685,2,1,3
0.4723217,0.35045037,0.4863686,0.3010096,1.9239448,3.336079,2,1,3
0.47032967,0.3934961,0.4712489,0.34027773,3.6092181,2.6142364,2,1,3
0.4825403,0.27182594,0.48650044,0.3345765,1.8690412,3.8019793,2,1,3
0.46248087,0.4490059,0.49621817,0.3555922,2.1063123,2.5028312,2,1,3
0.49661726,0.10926548,0.4422683,0.13527113,0.09845114,7.9739456,2,1,3
0.4831151,0.30036983,0.51398116,0.17007856,1.6132946,5.0880127,2,1,3
0.47530684,0.22167274,0.46144438,0.3791064,1.5388234,3.969283,2,1,3
0.46997884,0.25560403,0.47209498,0.12991317,1.8943464,5.868761,2,1,3
0.45989594,0.20285572,0.46545678,0.24205348,2.6310616,5.0837464,2,1,3
0.43770617,0.43021584,0.49987623,0.48368216,1.8315728,1.6629661,2,1,3
0.4479355,0.10044911,0.48270488,0.24469289,2.544838,6.3238926,2,1,3
0.4658148,0.25523275,0.47630462,0.44166663,2.4564686,3.1401734,2,1,3
0.46925703,0.3788686,0.4698657,0.2922932,3.540222,3.51466,2,1,3
0.48775,0.44050997,0.4890826,0.33570498,1.4252307,2.3289852,2,1,3
0.4762464,0.4293942,0.49837384,0.27985704,2.223496,3.0117102,2,1,3
0.45877117,0.26472133,0.4837787,0.33707666,2.5808346,4.001567,2,1,3
