p1_mean_weights,p1_sd_weights,p2_mean_weights,p2_sd_weights,mean_bias,sd_bias,data_type
0.48737815,0.3222223,0.4543101,0.24378245,2.202218,4.3905377,test_pred
0.4970991,0.06276862,0.45305935,0.17686675,1.3763341,7.1281605,test_pred
0.50771046,0.20870453,0.46513024,0.36122653,0.4016613,4.5446577,test_pred
0.420284,0.28625748,0.5202581,0.43363264,2.4739106,3.0273008,test_pred
0.46415806,0.38804647,0.47825307,0.37108842,1.9916451,2.554294,test_pred
0.4544219,0.23513761,0.48204166,0.41584772,1.6526581,4.215442,test_pred
0.48697832,0.44829854,0.45131475,0.45210588,1.2768507,1.9278972,test_pred
0.4700226,0.45262098,0.46566328,0.34210747,2.214283,2.4173665,test_pred
0.46058524,0.34096974,0.5042132,0.29049948,2.7402968,3.6715713,test_pred
0.45943293,0.27787828,0.507394,0.29303294,2.0280857,4.3851767,test_pred
0.47753847,0.25576645,0.4869048,0.2793704,1.3819345,5.121764,test_pred
0.43199915,0.29049158,0.51304334,0.3845321,2.2573924,4.2469187,test_pred
0.5027427,0.18222812,0.46307373,0.15550022,1.5349891,6.0726576,test_pred
0.49278924,0.10566814,0.4720476,0.093098655,2.233953,7.4989796,test_pred
0.4999678,0.29706702,0.45125568,0.48792666,1.4493818,2.786488,test_pred
0.47720492,0.41354066,0.4899541,0.4076885,1.4124913,2.1011796,test_pred
0.48975694,0.09642835,0.48268035,0.24184574,1.0819455,6.7350774,test_pred
0.4962531,0.34248585,0.46952108,0.300381,1.5226808,3.6141098,test_pred
0.49142787,0.11771652,0.4561788,0.3983562,1.6578739,4.796017,test_pred
0.47696397,0.41070315,0.46892935,0.45668176,2.1907687,1.8729839,test_pred
0.47526205,0.38392055,0.4711172,0.25741583,2.9887695,3.9574733,test_pred
0.51994574,0.32863033,0.45269555,0.18173109,1.1989815,4.503416,test_pred
0.48565722,0.16900373,0.46621498,0.2850815,1.8281348,5.2317944,test_pred
0.45685333,0.08878294,0.4815043,0.064157814,2.4761016,7.885483,test_pred
0.47129637,0.41384178,0.509114,0.310039,0.92336917,2.966731,test_pred
0.4454834,0.49776134,0.4948542,0.5145784,1.946686,0.54503703,test_pred
0.45161104,0.26859242,0.48575255,0.4235412,1.7989669,3.5087118,test_pred
0.468006,0.32899767,0.48417407,0.28893077,2.0457761,3.8365104,test_pred
0.45475426,0.22419369,0.5084217,0.27574244,2.4916525,5.2942543,test_pred
0.455669,0.21083197,0.49819925,0.30377173,1.8875425,4.8200803,test_pred
0.49279445,0.15146098,0.45507935,0.3309842,0.95573235,5.93219,test_pred
0.48968562,0.2995477,0.4589855,0.2364823,0.9485873,4.6677194,test_pred
0.50876015,0.4746738,0.43593964,0.29445034,2.6749742,2.4036436,test_pred
0.47513184,0.0977667,0.4882104,0.103989035,1.3978124,7.3514433,test_pred
0.49089706,0.41662073,0.47379935,0.34260243,2.5055928,3.1310716,test_pred
0.4622158,0.30474892,0.49531865,0.44880748,1.6739558,3.0892274,test_pred
0.4968527,0.4143234,0.4678167,0.42222103,1.9674284,1.9101858,test_pred
0.5195119,0.3249606,0.43674365,0.35311297,1.4552929,3.21181,test_pred
0.48715872,0.42762256,0.4815298,0.5271195,1.6381812,2.2846923,test_pred
0.46065348,0.3720283,0.48636445,0.2928916,1.4172788,3.424392,test_pred
0.4961653,0.30797398,0.47036895,0.48004732,1.3261737,2.6289337,test_pred
0.501964,0.4128768,0.4611639,0.42156756,1.8829094,2.099299,test_pred
0.44313633,0.17615855,0.54097164,0.25704968,2.3174272,5.4445186,test_pred
0.47714356,0.39176422,0.47282422,0.35637844,2.101394,2.7410195,test_pred
0.48867956,0.3819663,0.4848086,0.39693862,1.3505846,2.8857665,test_pred
0.42689273,0.23214392,0.5003509,0.32048705,2.8534317,5.1610312,test_pred
0.4708963,0.024894819,0.47288427,0.47300208,1.6956387,5.3119307,test_pred
0.44996563,0.438306,0.49710163,0.35653093,3.4875026,2.4928236,test_pred
0.464549,0.22096816,0.49344155,0.26577157,1.9326344,5.396592,test_pred
0.48825374,0.03410557,0.45507637,0.3107832,2.8560443,6.251437,test_pred
0.48756367,0.38429067,0.44122598,0.39213526,2.5418282,2.8319063,test_pred
