pop,individual,p1_mean_weights,p1_sd_weights,p2_mean_weights,p2_sd_weights,mean_bias,sd_bias,p1_id,p2_id
1,44,0.5222697,0.22009641,0.48189822,0.5236019,0.5696562,3.0695157,1.0,2.0
1,45,0.5115494,0.34804776,0.48246914,0.50549996,0.2737218,2.1820395,1.0,2.0
1,46,0.49625462,0.31288487,0.48051858,0.37865907,1.5677685,3.812292,1.0,2.0
1,47,0.5158257,0.37611496,0.4657496,0.34787425,0.31877574,2.8430343,1.0,2.0
1,48,0.44761026,0.44529027,0.5273646,0.34123242,0.6941821,2.4245229,1.0,2.0
1,49,0.4942484,0.5323355,0.49450094,0.37448487,0.50839555,2.44114,1.0,2.0
1,50,0.51179147,0.37493405,0.49765584,0.39545426,0.6929813,2.674957,1.0,2.0
1,51,0.46568802,0.385363,0.5235511,0.44859084,0.38842985,2.7906685,1.0,2.0
1,52,0.5068419,0.25681043,0.49037626,0.4434712,0.47783414,2.516051,1.0,2.0
1,53,0.535256,0.48003355,0.48850602,0.16020215,0.9017822,3.4407272,1.0,2.0
1,54,0.46221834,0.41384098,0.52214485,0.29171392,1.0889074,3.3935497,1.0,2.0
1,55,0.45990354,0.26448694,0.5359676,0.39925128,1.1663921,3.34506,1.0,2.0
1,56,0.5193172,0.4861218,0.47508782,0.27380833,1.0348874,2.7831957,1.0,2.0
1,57,0.47909623,0.50283384,0.537199,0.32560238,0.47287017,2.1003578,1.0,2.0
1,58,0.49085692,0.38345423,0.5011389,0.4335518,0.790206,2.5335882,1.0,2.0
1,59,0.4547987,0.38723612,0.5449549,0.54466707,0.5001506,1.7120361,1.0,2.0
1,60,0.5010135,0.417894,0.45940816,0.2994318,1.2057207,2.6888254,1.0,2.0
1,61,0.53014517,0.44851094,0.4439246,0.33604375,0.5300103,1.7676637,1.0,2.0
1,62,0.47039586,0.31370834,0.5084117,0.32435897,1.2660909,3.5714092,1.0,2.0
1,63,0.537424,0.5976164,0.44161648,0.22743538,0.8599279,2.3870285,1.0,2.0
1,64,0.5477803,0.55093557,0.44449556,0.27954,0.83570415,2.6186159,1.0,2.0
1,65,0.48125607,0.4344658,0.50963354,0.24788943,0.6443576,2.90877,1.0,2.0
