pop,individual,indi_count_per_pop_trait,val_mean,val_sd,log_val_mean,exp_val_sd,d_type
25,18,6,78.8333333333333,9.17423929634859,4.367335919263877,9645.42796787411,test
25,19,6,75.3333333333333,8.09114742583935,4.321922710604175,3265.43226279233,test
25,20,6,80.8333333333333,11.2856841470363,4.392389421709428,79672.84942156659,test
25,21,6,75.8333333333333,8.72735164105736,4.328537949722895,6169.367756449808,test
25,22,6,75.1666666666667,9.47452725293809,4.319707870274624,13023.715620102463,test
25,23,6,82.3333333333333,12.5326240934078,4.410776047959867,277235.9127850171,test
25,24,6,75.3333333333333,8.98146239020499,4.321922710604175,7954.255840049173,test
25,25,6,81.5,10.2127371453494,4.400603020246817,27248.047478235345,test
25,26,6,78.5,7.14842640026461,4.363098624788363,1272.1025990332746,test
25,27,5,83.8,11.9037809119624,4.428433007488037,147824.48132339577,test
25,28,6,78.0,9.95991967839099,4.356708826689592,21161.095955961715,test
25,29,6,77.5,9.43927963353136,4.350277936359301,12572.656723289992,test
25,30,6,80.6666666666667,7.78888096369861,4.390325437488577,2413.6151474481626,test
25,32,6,80.3333333333333,10.8750478926148,4.386184644822545,52841.275254814405,test
25,34,7,76.8571428571429,8.62995889191776,4.341948411106472,5596.848172388081,test
25,35,6,80.0,9.87927122818278,4.382026634673881,19521.49076449319,test
25,36,6,81.3333333333333,10.112698288126,4.398555936625092,24654.094918441057,test
25,37,6,78.5,9.02773504263389,4.363098624788363,8330.968897594019,test
25,38,6,76.5,8.7120606058498,4.33729074083249,6075.749322378259,test
25,39,6,80.8333333333333,12.0568099705796,4.392389421709428,172268.56639900256,test
25,40,6,80.5,9.58644876896549,4.388257184424518,14566.050168123396,test
25,41,5,77.4,11.0136279218067,4.3489867805956814,60695.68710010688,test
25,42,6,81.5,11.7260393995586,4.400603020246817,123752.56401861031,test
25,43,6,78.1666666666667,8.65832932306612,4.358843299218225,5757.907019956372,test
25,44,6,80.3333333333333,11.111555546667,4.386184644822545,66940.23910352569,test
25,45,6,76.8333333333333,9.30412095077588,4.341638573768593,10983.187250626304,test
25,46,6,81.1666666666667,11.2501851836611,4.396504653854535,76894.15798798738,test
25,47,6,78.1666666666667,11.7203526681865,4.358843299218225,123050.81365448612,test
25,48,6,74.1666666666667,9.47452725293809,4.306314812938186,13023.715620102463,test
25,49,6,79.5,10.821275340735,4.375757021660286,50074.908873647,test
25,50,7,82.7142857142857,9.77606406338607,4.415392328517681,17607.21540816619,test
25,51,6,80.6666666666667,10.0730663984045,4.390325437488577,23696.115207789466,test
25,52,6,80.1666666666667,11.9401284191866,4.384107800877707,153296.37516113828,test
25,53,5,84.0,12.3490890352285,4.430816798843313,230749.74222087394,test
25,54,6,75.8333333333333,5.41910201663215,4.328537949722895,225.6763778511682,test
25,55,6,79.3333333333333,10.4243305140746,4.373658385003365,33668.92264186565,test
25,56,6,81.8333333333333,9.84716541278081,4.404684658566465,18904.691784008988,test
25,57,6,82.6666666666667,9.43751379689941,4.4148164574968725,12550.4750558514,test
25,58,5,80.0,11.3578166916005,4.382026634673881,85632.20273850883,test
25,59,4,75.25,5.1234753829798,4.3208159036289855,167.9179358506164,test
25,60,6,78.0,9.63327566303384,4.356708826689592,15264.355187426348,test
25,61,6,79.0,9.89949493661167,4.3694478524670215,19920.306879387586,test
25,63,7,79.1428571428571,10.073539123674,4.37125453769197,23707.31960833015,test
25,64,6,80.3333333333333,11.4134423670804,4.386184644822545,90530.52513082905,test
25,65,7,82.2857142857143,9.79309766645681,4.410197511640578,17909.698602346805,test
25,66,6,78.1666666666667,13.7610561610171,4.358843299218225,947001.6940414091,test
25,67,6,77.1666666666667,8.13428956127495,4.34596758485818,3409.3930433245732,test
25,68,6,91.8333333333333,21.9127055989594,4.5199753399248594,3285240175.3805313,test
25,69,7,78.8571428571429,12.7073282194248,4.367637897221782,330158.5324415126,test
25,70,7,77.7142857142857,10.1933685258977,4.353039097800629,26725.368540410116,test
25,71,6,78.1666666666667,11.7714343504378,4.358843299218225,129499.76564614328,test
25,73,6,78.6666666666667,8.2138095100061,4.3652195163575005,3691.5788199291087,test
25,74,6,80.0,10.733126291999,4.382026634673881,45849.808086716366,test
25,75,6,80.3333333333333,12.0111059718357,4.386184644822545,164572.4161104347,test
25,76,7,78.8571428571429,12.863754913562,4.367637897221782,386062.6394163608,test
