pop,individual,indi_count_per_pop_trait,val_mean,val_sd,log_val_mean,exp_val_sd,d_type
14,138,6,79.3333333333333,8.26236447190916,4.373658385003365,3875.246187041702,test
14,139,7,79.1428571428571,9.78823394742503,4.37125453769197,17822.80235117615,test
14,140,6,82.6666666666667,9.26642685541016,4.4148164574968725,10576.891523712706,test
14,142,6,81.6666666666667,9.0921211313239,4.402645921876617,8885.012356690384,test
14,143,7,75.0,9.38083151964686,4.31748811353631,11858.87154023736,test
14,144,6,84.3333333333333,10.092901796147,4.43477720005941,24170.829587840388,test
14,145,7,80.2857142857143,9.05012496625112,4.385591700838378,8519.60252083649,test
14,146,6,83.0,9.338094023943,4.418840607796598,11362.730495846035,test
14,147,6,80.3333333333333,13.485794995723,4.386184644822545,719128.2515723199,test
14,148,6,78.1666666666667,9.45339445208263,4.358843299218225,12751.375818299832,test
14,149,6,80.8333333333333,8.10966501568756,4.392389421709428,3326.4635301358544,test
14,150,7,79.8571428571429,9.09997383565051,4.380239324099787,8955.05839713969,test
14,151,7,77.2857142857143,9.74190750853045,4.3475091297911685,17015.968548511864,test
14,152,7,79.7142857142857,8.07701029082514,4.378448813325997,3219.593186063674,test
14,153,7,75.8571428571429,9.95705062470093,4.328851872186626,21100.4706457448,test
14,154,5,79.0,4.47213595499958,4.3694478524670215,87.54351245861726,test
14,155,6,78.1666666666667,7.46770826068257,4.358843299218225,1750.5901885871315,test
14,156,6,77.0,8.8090862182181,4.343805421853684,6694.7988858422195,test
14,157,6,75.0,8.8090862182181,4.31748811353631,6694.7988858422195,test
14,158,6,76.5,10.5214067500501,4.33729074083249,37101.2800260459,test
14,159,6,78.0,7.34846922834953,4.356708826689592,1553.8161686677654,test
14,160,6,73.5,7.23187389270582,4.297285406218791,1382.8113177918829,test
14,161,6,80.5,6.97853852894716,4.388257184424518,1073.3485523170111,test
14,162,6,76.5,9.13783344124853,4.33729074083249,9300.593006502268,test
14,163,6,87.0,11.9498953970317,4.465908118654584,154800.9530901153,test
