"","pop","individual","mean_value","sd_value"
"2011",11,30,-5.6288913797442,4.03893574810645
"2012",11,31,-4.20031995117277,4.99737001344061
"2013",11,32,-2.20031995117277,10.5125012001548
"2014",11,33,-3.45661838686112,3.90835917817395
"2015",11,34,-4.91460566545848,4.64948875069278
"2016",11,35,0.513965763112948,3.60190469104892
"2017",11,36,-6.61274772447016,4.13638628495476
"2018",11,37,-3.48603423688705,8.15355629341976
"2019",11,38,-5.48603423688705,4.36404354216996
"2020",11,39,-3.6288913797442,6.31847997745918
"2021",11,40,-4.6288913797442,5.01091621005097
"2022",11,41,-2.34317709402991,7.04056652129906
"2023",11,42,-3.34317709402991,5.08949769239403
"2024",11,43,-2.77174852260134,6.18922638706105
"2025",11,44,-0.628891379744195,5.26119950239043
"2026",11,45,-4.34317709402991,3.4205755938124
"2027",11,46,-3.48603423688705,3.97416446453064
"2028",11,47,-3.6288913797442,4.57262714903311
"2029",11,48,-0.802791401955662,6.44138143330029
"2030",11,49,-4.20031995117277,5.48514533161311
"2031",11,50,0.513965763112948,4.27513835652662
"2032",11,51,0.371108620255805,3.77565730283056
"2033",11,52,-4.05746280831562,4.30683113033797
"2034",11,53,-3.12328505352779,2.82777766053545
"2035",11,54,-1.20031995117277,5.40446914252615
"2036",11,55,-5.91460566545848,5.0537487496283
"2037",11,56,-5.48603423688705,3.92241691379828
"2038",11,57,-1.91460566545848,5.7466773514798
"2039",11,58,-5.01599912119972,3.19579857755904
