"pop","individual","val_mean_oil","val_mean_protein","val_mean_silk","val_mean_starch","val_mean_tassel","val_sd_oil","val_sd_protein","val_sd_silk","val_sd_starch","val_sd_tassel"
1,15,3.95333333333333,12.5116666666667,78.3333333333333,68.2933333333333,75.8333333333333,0.888271730196716,0.979008001329236,10.2696965226177,1.21639905732726,9.98832651982637
1,16,4.5125,10.98,81.3333333333333,72.015,77.8333333333333,0.670441396892127,1.48285760161476,10.1718565988057,3.28367172537085,9.76558583325479
1,17,3.94,11.5725,78.1666666666667,68.905,77.5,0.507411732882348,0.42944731923718,9.84716541278081,2.25702606690013,9.69020123630051
1,20,3.834,13.274,77.8,68.33,75.6666666666667,0.681124070929812,2.05825897301579,11.7558496077485,2.53977361195836,9.58471004604034
1,22,3.82,14.5725,75.8333333333333,67.4575,75.8333333333333,0.200499376557634,1.34127737623506,8.51860708488581,2.48765451781392,7.80811543630514
1,23,4.522,13.4,74.6666666666667,69.208,73.5,0.780301223887289,1.36917858586818,9.0037029419382,0.816131116916884,9.24662100445346
1,24,4.292,13.604,76.6,70.576,73.6666666666667,0.455543631280254,0.733096173772582,10.7377837564369,0.809524551820385,8.50098033562404
1,29,4.274,13.234,76.1666666666667,69.112,74.1666666666667,0.665417162387626,0.614800780741209,7.41395081361258,2.38330023287038,6.40052081214229
1,30,3.665,11.2125,76.3333333333333,71.3225,74.5,0.812301257744522,1.45289079653863,10.15217546473,1.24261485049337,10.0548495761995
1,32,4.65428571428571,14.0228571428571,74.7142857142857,67.07,73.2857142857143,0.553890998387984,0.815346844104076,8.13867896148357,2.35812072068699,7.95223837910404
1,33,3.6,11.8875,77.5,71.825,74.6666666666667,0.248059132735188,1.21076766282113,14.2933550994859,0.96258332972614,13.0025638497439
1,34,3.9525,13.705,80.3333333333333,70.25,77,0.420743389728229,0.557404700374871,14.9220195237329,0.911592014006264,13.4610549363711
1,36,3.484,13.61,79.1428571428571,68.572,76,0.238180603744301,1.36577816646775,10.2376522606271,2.63142926942754,10.4083299973307
1,37,3.844,12.792,79.5,71.204,74,0.190866445453359,1.17795161190942,7.50333259292163,0.829053677393691,7.84856674813943
1,38,4.594,13.85,77.6666666666667,67.874,74.8333333333333,0.726140482275985,0.986813052203911,10.5955965696447,0.713813701185401,10.4195329389885
1,39,3.8325,12.9525,78.3333333333333,68.85,75.3333333333333,0.478426239525663,0.42460766204423,16.3299316185545,1.65047467919585,13.3666251038423
1,40,4.0425,12.7725,76.4,70.1475,73,0.383785964655649,0.88965817405713,10.1636607578175,0.305545959445271,9.77752524926425
1,41,3.95166666666667,13.4683333333333,75.2857142857143,67.2383333333333,74.4285714285714,0.262253058450548,0.684993917247932,8.69318287921223,2.281187556223,8.28366148626606
1,43,3.265,13.0966666666667,76.1428571428571,68.195,74.1428571428571,0.450099988891357,0.668181612038723,10.4311803651132,1.33733690594405,8.51329492477445
1,44,4.018,12.584,77,68.956,76,0.297942947558757,1.38178507735465,7.61577310586391,2.74511930523976,8
1,45,4.97,12.152,75.1666666666667,70.578,74.8333333333333,0.445701693961331,0.892787768733421,6.04703784233791,1.07954620095668,6.8239773348588
1,47,4.56,13.3183333333333,74.3333333333333,70.3166666666667,74.1666666666667,0.421093813775505,1.85369271096012,7.52772652709081,1.42303431675651,6.6156380392723
1,48,4.284,14.198,79.5,68.934,76.5,0.603431851993247,2.26858325833547,10.7470926301023,3.08482252325803,9.22496612459905
1,49,3.704,11.71,80.5,72.412,77.8333333333333,0.413678619220283,1.31038162380278,13.8094170767632,0.789949365465912,13.0754222366494
1,51,4.082,12.67,77.5714285714286,66.376,76,0.594659566474802,1.06501173702453,12.9724983825674,2.43639692989464,11.1055541659718
1,52,4.562,12.696,78.1666666666667,69.514,76.3333333333333,0.542558752578926,1.89589820401835,7.83368793523629,1.53102253412548,7.78888096369861
1,53,4.185,12.535,78.5,69.5866666666667,75.8333333333333,0.307424787549735,1.03397775604701,14.5705181788432,1.28660276179817,13.2274966137462
1,54,4.30714285714286,12.6414285714286,78.1428571428571,70.8985714285714,75.1428571428571,0.272134420566644,1.28441203891675,13.0821579696492,1.29799112184212,11.1269728052837
