"pop","individual","indi_count_per_pop_trait","val_mean","val_sd"
3,190,6,79.6666666666667,10.112698288126
3,191,6,89.3333333333333,18.5436422168534
3,192,6,93.3333333333333,16.776968339562
3,193,6,78,7.23878442834154
3,194,6,80.6666666666667,14.5005747012547
3,196,6,84.5,12.2433655503705
3,197,5,88,13.2664991614216
3,198,6,81.5,9.71081870904817
3,199,7,80.2857142857143,13.1112456275047
3,200,6,88.1666666666667,19.0411834366109
4,1,6,81.6666666666667,10.1914997260789
4,2,6,81.6666666666667,11.1654228162962
4,3,6,79.5,8.40832920383116
4,4,5,83.2,9.20326029187483
4,5,6,80.5,12.771061036578
4,6,6,81.8333333333333,11.5830335692627
4,8,6,84.5,9.22496612459905
4,9,6,86.3333333333333,9.39503414930817
4,10,5,81.2,6.72309452558864
4,11,6,88.1666666666667,17.5204642252044
4,12,5,84,7.3824115301167
4,13,5,85.6,6.87749954561976
4,14,5,82.2,5.93295878967653
4,15,6,86.3333333333333,11.4658914466633
4,16,5,83,5.70087712549569
4,17,6,85.6666666666667,12.3720114236395
4,18,5,81.2,9.95991967839099
4,19,6,83.8333333333333,10.3424690798023
4,20,5,82,9.13783344124853
4,21,6,80.8333333333333,14.0771682758525
4,22,6,85,18.0554700852678
4,23,5,82.6,7.43639697703128
4,24,6,80.3333333333333,10.1324561023804
4,25,6,90.8333333333333,16.1668384870595
4,26,6,87.5,10.2127371453494
4,27,6,81.8333333333333,10.3810725200562
4,28,5,83.8,7.94984276574072
4,29,6,83.5,11.6232525568362
4,30,5,80.6,8.17312669668102
4,31,5,86.4,13.1833227981416
4,32,6,87,13.7695315824468
4,33,5,84.4,7.02139587261678
4,34,5,75.2,4.32434966208793
4,35,6,88.5,12.9267165204471
4,36,5,83.2,7.19027120489902
4,37,6,85,10.3923048454133
4,38,5,98.4,16.592166826548
4,39,6,86.3333333333333,11.0935416647104
4,40,6,77.8333333333333,8.77306483885003
4,42,6,87.3333333333333,10.670832519849
4,43,5,81,6.70820393249937
4,44,5,84.2,7.36206492772238
4,45,6,80.8333333333333,8.8411914732499
4,46,6,83.1666666666667,13.1212296171764
4,47,6,85.3333333333333,12.2583305007928
4,48,6,84.6666666666667,11.758684733705
4,49,6,80.3333333333333,8.35862827661732
4,50,5,81.2,7.39594483484024
4,51,5,83,6.12372435695795
4,52,6,81.6666666666667,12.0111059718357
4,53,5,86,9.5655632348545
4,54,6,82.6666666666667,11.7246179752974
4,56,6,88,11.3490087672889
4,57,6,85.5,12.4217551094843
4,58,6,79.5,9.85393322486001
4,59,6,85.6666666666667,11.7416637094863
4,60,4,79.75,6.29152869605896
4,61,6,86.6666666666667,17.929491533969
4,62,6,77.6666666666667,9.0921211313239
4,63,5,81.4,6.50384501660364
4,64,6,87,11.8995798245148
4,66,6,90.1666666666667,16.3880037425754
4,67,6,84.6666666666667,11.6561857683664
4,68,6,81.8333333333333,12.0899407222148
4,69,6,80.8333333333333,9.28260021042955
4,70,6,80.8333333333333,6.91134333300457
4,71,6,79.5,10.5023806824929
4,72,6,86.3333333333333,10.8012344973464
4,73,6,90,10.9726933794762
4,74,6,78.1666666666667,10.4960309958892
4,75,5,87,12.1860576069539
4,76,6,83.6666666666667,11.0211917080988
4,77,6,82.3333333333333,12.7854083496252
4,78,6,86.5,18.4905381208877
4,79,5,82.8,15.3362316101447
4,80,6,88.5,16.5378354085412
4,81,6,83.6666666666667,12.3881663964715
4,82,6,83.5,11.4149025401008
4,83,6,80.5,7.03562363973514
4,84,6,81.3333333333333,9.5008771524879
4,85,5,85,11.5108644332213
4,86,6,85.6666666666667,12.6121634411653
4,87,5,90.2,12.774975538137
4,88,6,84.5,10.7470926301023
4,89,6,81.6666666666667,8.47742099147298
4,90,6,86.8333333333333,8.65832932306612
4,91,6,81.5,11.202678251204
4,92,6,89.8333333333333,16.7978173185288
4,93,6,88.3333333333333,13.8660256262083
4,94,5,87,12.2882057274445
4,95,5,81.4,7.82943165242535
4,96,6,83.5,11.2205169221387
4,97,6,85.8333333333333,11.6347181601733
4,98,6,80.6666666666667,13.094528119282
4,99,5,78.4,6.87749954561976
4,100,6,80.5,12.3409886151799
4,101,6,88.5,16.5740761431822
4,102,6,80,8.43800924389159
4,103,6,81.1666666666667,13.4820868809939
4,104,6,88.6666666666667,8.16496580927726
4,105,6,83.6666666666667,11.9443152447793
4,106,5,86.2,6.26099033699941
4,107,5,80.6,7.98749021908634
4,108,5,78.6,9.83869910099907
4,109,6,84.6666666666667,11.5181016954473
4,110,6,87.6666666666667,18.661904154364
4,111,5,81.2,11.9874934827928
4,112,5,83.4,10.4307238483242
4,113,5,84.6,11.0589330407594
4,114,6,89.3333333333333,11.0030298857481
4,115,6,81.6666666666667,12.9254271367203
4,116,5,79.6,9.23579991121505
4,117,6,83.1666666666667,11.5830335692627
4,118,6,83.3333333333333,10.8382040332643
4,120,5,84.4,5.31977443130815
4,121,6,88.8333333333333,11.3563491786166
4,122,6,84.6666666666667,10.5007936208016
4,123,6,84.3333333333333,12.7226831551629
4,124,5,73.8,8.43800924389159
4,125,6,88.1666666666667,17.9712733735444
4,126,6,78.6666666666667,11.8265238623472
4,127,5,87.2,8.64291617453276
4,128,6,84.3333333333333,9.4798030921885
